Acquirente_ID,Venditore_ID,Rating_Acquirente_V,Rating_Venditore_A,Item_ID,Acquirente_Community,Venditore_Community,Main_Tag_Acquirente,Detailed_Tag_Acquirente,Main_Tag_Venditore,Detailed_Tag_Venditore,Rating_Medio,Numero_Transazioni
108622456.0,263549027,5,,7383217003.0,Generalista,Generalista,Generalista,Debole_Gaming_Console,Generalista,Generalista,5.0,1
107679827.0,263549027,5,,7364092673.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
52098953.0,263549027,5,,7370732552.0,Generalista,Generalista,Generalista,Debole_Moda_Lusso,Generalista,Generalista,5.0,1
64042103.0,263549027,5,,7239241365.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
79807304.0,263549027,5,,7298060251.0,Fumetti_Manga,Generalista,Fumetti_Manga,Puro_Fumetti_Manga,Generalista,Generalista,5.0,1
274584746.0,263549027,5,,7300108143.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
185316609.0,263549027,5,,7149949912.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
248330812.0,263549027,5,,7156321193.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
50021234.0,263549027,5,,7038404976.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
103575152.0,263549027,5,,6700423492.0,Multi_category,Generalista,Multi_category,Multi_category_Action_Figure_Fumetti_Manga,Generalista,Generalista,5.0,1
97037733.0,263549027,5,,7052261921.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
72848059.0,263549027,5,,5366776914.0,Generalista,Generalista,Generalista,Debole_Moda_Lusso,Generalista,Generalista,5.0,1
230224355.0,263549027,5,,7099691276.0,Carte_TCG,Generalista,Carte_TCG,Puro_Carte_TCG,Generalista,Generalista,5.0,1
129819839.0,263549027,5,,6978616881.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
13564759.0,263549027,5,,6851704269.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
95301378.0,263549027,5,,6721740290.0,Multi_category,Generalista,Multi_category,Multi_category_Carte_TCG_Action_Figure,Generalista,Generalista,5.0,1
70848015.0,263549027,5,,6783498936.0,Multi_category,Generalista,Multi_category,Multi_category_Moda_Lusso_Carte_TCG,Generalista,Generalista,5.0,1
115044778.0,263549027,5,,6665164859.0,Multi_category,Generalista,Multi_category,Multi_category_Action_Figure_Fumetti_Manga,Generalista,Generalista,5.0,1
11487116.0,263549027,5,,6708780730.0,Action_Figure,Generalista,Action_Figure,Puro_Action_Figure,Generalista,Generalista,5.0,1
68634320.0,263549027,5,,6698758669.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
116173161.0,263549027,5,,6858396560.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
132990184.0,263549027,5,,6572582389.0,Generalista,Generalista,Generalista,Debole_Gaming_Console,Generalista,Generalista,5.0,1
148580675.0,263549027,5,,6829719221.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
180746993.0,263549027,5,,6376397439.0,Generalista,Generalista,Generalista,Debole_Moda_Lusso,Generalista,Generalista,5.0,1
229992281.0,263549027,5,,6788817114.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
23156702.0,263549027,5,,6641275616.0,Action_Figure,Generalista,Action_Figure,Puro_Action_Figure,Generalista,Generalista,5.0,1
52938938.0,263549027,5,,6764084861.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
29991466.0,263549027,5,,6734699174.0,Multi_category,Generalista,Multi_category,Multi_category_Gaming_Console_Action_Figure,Generalista,Generalista,5.0,1
80110329.0,263549027,5,,6639319518.0,Multi_category,Generalista,Multi_category,Multi_category_Action_Figure_Fumetti_Manga,Generalista,Generalista,5.0,1
181137219.0,263549027,5,,6770361639.0,Multi_category,Generalista,Multi_category,Multi_category_Moda_Lusso_Tech_Elettronica,Generalista,Generalista,5.0,1
60136714.0,263549027,5,,6748373576.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
277945893.0,263549027,5,,6736813652.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
89007660.0,263549027,5,,6697988351.0,Gaming_Console,Generalista,Gaming_Console,Puro_Gaming_Console,Generalista,Generalista,5.0,1
77674867.0,263549027,5,,6740224778.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
30337754.0,263549027,5,,6703966779.0,Generalista,Generalista,Generalista,Debole_Fumetti_Manga,Generalista,Generalista,5.0,1
231283876.0,263549027,5,,6721363730.0,Multi_category,Generalista,Multi_category,Multi_category_Moda_Lusso_Gaming_Console,Generalista,Generalista,5.0,1
217538818.0,263549027,5,,6451425380.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
86638253.0,263549027,5,,6665810141.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,2
53294059.0,263549027,5,,6639193430.0,Multi_category,Generalista,Multi_category,Multi_category_Gaming_Console_Fumetti_Manga,Generalista,Generalista,5.0,1
276823243.0,263549027,5,,6727880802.0,Generalista,Generalista,Generalista,Debole_Gaming_Console,Generalista,Generalista,5.0,1
73898925.0,263549027,5,,6710276833.0,Generalista,Generalista,Generalista,Debole_Tech_Elettronica,Generalista,Generalista,5.0,1
232799265.0,263549027,5,,6703516925.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
145272927.0,263549027,5,,6680103683.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
187128388.0,263549027,5,,6609365927.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
97515463.0,263549027,5,,6679260488.0,Multi_category,Generalista,Multi_category,Multi_category_Action_Figure_Moda_Lusso,Generalista,Generalista,5.0,1
232193075.0,263549027,5,,6662496625.0,Generalista,Generalista,Generalista,Debole_Tech_Elettronica,Generalista,Generalista,5.0,1
178323249.0,263549027,5,,6651197400.0,Generalista,Generalista,Generalista,Debole_Action_Figure,Generalista,Generalista,5.0,1
120932643.0,263549027,5,,6672807623.0,Generalista,Generalista,Generalista,Debole_Carte_TCG,Generalista,Generalista,5.0,1
123941069.0,263549027,5,,6657717115.0,Multi_category,Generalista,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,Generalista,Generalista,5.0,2
41806402.0,263549027,5,,6663942986.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
18474173.0,263549027,5,,6664537370.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
248053935.0,263549027,5,,6658487365.0,Multi_category,Generalista,Multi_category,Multi_category_Gaming_Console_Moda_Lusso,Generalista,Generalista,5.0,1
272792097.0,263549027,5,,6654042099.0,Multi_category,Generalista,Multi_category,Multi_category_Action_Figure_Gaming_Console,Generalista,Generalista,5.0,1
73272371.0,263549027,5,,6599324174.0,Fumetti_Manga,Generalista,Fumetti_Manga,Puro_Fumetti_Manga,Generalista,Generalista,5.0,1
98572409.0,263549027,5,,6650717204.0,Carte_TCG,Generalista,Carte_TCG,Puro_Carte_TCG,Generalista,Generalista,5.0,1
140959634.0,263549027,5,,6566565439.0,Moda_Lusso,Generalista,Moda_Lusso,Puro_Moda_Lusso,Generalista,Generalista,5.0,1
