Acquirente_ID,Venditore_ID,Rating_Acquirente_V,Rating_Venditore_A,Item_ID,Acquirente_Community,Venditore_Community
108622456.0,263549027,5,,7383217003.0,Generalista,Generalista
70920108.0,263549027,5,,7208160689.0,Generalista,Generalista
107679827.0,263549027,5,,7364092673.0,Generalista,Generalista
52098953.0,263549027,5,,7370732552.0,Generalista,Generalista
100029116.0,263549027,5,,7306398356.0,Generalista,Generalista
64042103.0,263549027,5,,7239241365.0,Generalista,Generalista
79807304.0,263549027,5,,7298060251.0,Fumetti_Manga,Generalista
225081891.0,263549027,5,,7250103227.0,Generalista,Generalista
159753485.0,263549027,5,,7304117550.0,Generalista,Generalista
274584746.0,263549027,5,,7300108143.0,Generalista,Generalista
84039139.0,263549027,5,,7216524254.0,Generalista,Generalista
185316609.0,263549027,5,,7149949912.0,Generalista,Generalista
84437248.0,263549027,5,,7171393730.0,Generalista,Generalista
248330812.0,263549027,5,,7156321193.0,Generalista,Generalista
120657349.0,263549027,5,,7107287530.0,Generalista,Generalista
50021234.0,263549027,5,,7038404976.0,Generalista,Generalista
103575152.0,263549027,5,,6700423492.0,Multi_category,Generalista
97037733.0,263549027,5,,7052261921.0,Generalista,Generalista
72848059.0,263549027,5,,5366776914.0,Generalista,Generalista
77952380.0,263549027,5,,6807563036.0,Generalista,Generalista
230224355.0,263549027,5,,7099691276.0,Carte_TCG,Generalista
90202924.0,263549027,5,,6396904942.0,Generalista,Generalista
182621152.0,263549027,5,,7040109095.0,Generalista,Generalista
61102539.0,263549027,5,,7039974603.0,Generalista,Generalista
278666235.0,263549027,5,,6693134637.0,Generalista,Generalista
129819839.0,263549027,5,,6978616881.0,Generalista,Generalista
13564759.0,263549027,5,,6851704269.0,Generalista,Generalista
272677085.0,263549027,5,,6224307395.0,Generalista,Generalista
95301378.0,263549027,5,,6721740290.0,Multi_category,Generalista
55039739.0,263549027,5,,6878007558.0,Generalista,Generalista
70848015.0,263549027,5,,6783498936.0,Multi_category,Generalista
185045913.0,263549027,5,,6862297299.0,Generalista,Generalista
115044778.0,263549027,5,,6665164859.0,Multi_category,Generalista
84437248.0,263549027,5,,6867226607.0,Generalista,Generalista
11487116.0,263549027,5,,6708780730.0,Action_Figure,Generalista
68634320.0,263549027,5,,6698758669.0,Moda_Lusso,Generalista
116173161.0,263549027,5,,6858396560.0,Generalista,Generalista
22016251.0,263549027,5,,6615171154.0,Generalista,Generalista
132990184.0,263549027,5,,6572582389.0,Generalista,Generalista
148580675.0,263549027,5,,6829719221.0,Generalista,Generalista
180746993.0,263549027,5,,6376397439.0,Generalista,Generalista
45746696.0,263549027,5,,6751127979.0,Generalista,Generalista
189827354.0,263549027,5,,6820743339.0,Generalista,Generalista
229879575.0,263549027,5,,6776577208.0,Generalista,Generalista
229992281.0,263549027,5,,6788817114.0,Generalista,Generalista
23156702.0,263549027,5,,6641275616.0,Action_Figure,Generalista
52938938.0,263549027,5,,6764084861.0,Moda_Lusso,Generalista
29991466.0,263549027,5,,6734699174.0,Multi_category,Generalista
165137763.0,263549027,5,,6704507066.0,Generalista,Generalista
80110329.0,263549027,5,,6639319518.0,Multi_category,Generalista
181137219.0,263549027,5,,6770361639.0,Multi_category,Generalista
55225126.0,263549027,5,,6740778710.0,Generalista,Generalista
60136714.0,263549027,5,,6748373576.0,Moda_Lusso,Generalista
277945893.0,263549027,5,,6736813652.0,Generalista,Generalista
89007660.0,263549027,5,,6697988351.0,Gaming_Console,Generalista
77674867.0,263549027,5,,6740224778.0,Moda_Lusso,Generalista
30337754.0,263549027,5,,6703966779.0,Generalista,Generalista
126246227.0,263549027,5,,6732023158.0,Generalista,Generalista
231283876.0,263549027,5,,6721363730.0,Multi_category,Generalista
217538818.0,263549027,5,,6451425380.0,Generalista,Generalista
86638253.0,263549027,5,,6665810141.0,Moda_Lusso,Generalista
79972760.0,263549027,5,,6714242921.0,Generalista,Generalista
200158770.0,263549027,5,,6704451409.0,Generalista,Generalista
104050512.0,263549027,5,,6706560805.0,Generalista,Generalista
53294059.0,263549027,5,,6639193430.0,Multi_category,Generalista
276823243.0,263549027,5,,6727880802.0,Generalista,Generalista
279992157.0,263549027,5,,6691625763.0,Generalista,Generalista
73898925.0,263549027,5,,6710276833.0,Generalista,Generalista
232799265.0,263549027,5,,6703516925.0,Moda_Lusso,Generalista
58467792.0,263549027,5,,6178692638.0,Generalista,Generalista
256117024.0,263549027,5,,6293785778.0,Generalista,Generalista
38030696.0,263549027,5,,6658441441.0,Generalista,Generalista
145272927.0,263549027,5,,6680103683.0,Generalista,Generalista
118920570.0,263549027,5,,6667599878.0,Generalista,Generalista
73169680.0,263549027,5,,6711619423.0,Generalista,Generalista
187128388.0,263549027,5,,6609365927.0,Generalista,Generalista
97515463.0,263549027,5,,6679260488.0,Multi_category,Generalista
232193075.0,263549027,5,,6662496625.0,Generalista,Generalista
219041264.0,263549027,5,,6346892727.0,Generalista,Generalista
178323249.0,263549027,5,,6651197400.0,Generalista,Generalista
254902012.0,263549027,5,,6691584276.0,Generalista,Generalista
120932643.0,263549027,5,,6672807623.0,Generalista,Generalista
253544977.0,263549027,5,,6662486173.0,Generalista,Generalista
123941069.0,263549027,5,,6657717115.0,Multi_category,Generalista
73610891.0,263549027,5,,6421579731.0,Generalista,Generalista
41806402.0,263549027,5,,6663942986.0,Moda_Lusso,Generalista
170491434.0,263549027,5,,5573451747.0,Generalista,Generalista
18474173.0,263549027,5,,6664537370.0,Moda_Lusso,Generalista
248053935.0,263549027,5,,6658487365.0,Multi_category,Generalista
272792097.0,263549027,5,,6654042099.0,Multi_category,Generalista
73272371.0,263549027,5,,6599324174.0,Fumetti_Manga,Generalista
98572409.0,263549027,5,,6650717204.0,Carte_TCG,Generalista
140959634.0,263549027,5,,6566565439.0,Moda_Lusso,Generalista
80649366.0,263549027,5,,,Action_Figure,Generalista
86169575.0,263549027,5,,6508720335.0,Generalista,Generalista
139189417.0,263549027,5,,6620291517.0,Generalista,Generalista
83336745.0,263549027,5,,6625387796.0,Multi_category,Generalista
230435.0,263549027,5,,6645400660.0,Generalista,Generalista
236914741.0,263549027,5,,6523020323.0,Generalista,Generalista
66418741.0,263549027,5,,6614905460.0,Moda_Lusso,Generalista
84572539.0,263549027,5,,6593624060.0,Gaming_Console,Generalista
208235158.0,263549027,5,,6521241004.0,Generalista,Generalista
62418692.0,263549027,5,,6529662683.0,Fumetti_Manga,Generalista
58305402.0,263549027,5,,6573072804.0,Multi_category,Generalista
276365352.0,263549027,5,,,Generalista,Generalista
154261.0,263549027,5,,6200421658.0,Moda_Lusso,Generalista
49427489.0,263549027,5,,6578144903.0,Generalista,Generalista
241162848.0,263549027,5,,6395554772.0,Generalista,Generalista
276137347.0,263549027,5,,6549792223.0,Generalista,Generalista
185360285.0,263549027,5,,,Generalista,Generalista
169672359.0,263549027,5,,,Action_Figure,Generalista
169353221.0,263549027,5,,6549167288.0,Moda_Lusso,Generalista
165687367.0,263549027,5,,6445407006.0,Generalista,Generalista
68286658.0,263549027,5,,6568176886.0,Generalista,Generalista
248483313.0,263549027,5,,6544772706.0,Generalista,Generalista
81205989.0,263549027,5,,6270074181.0,Multi_category,Generalista
255337104.0,263549027,5,,6494709361.0,Action_Figure,Generalista
56791249.0,263549027,5,,6522460315.0,Inattivo,Generalista
175094097.0,263549027,5,,6533748514.0,Generalista,Generalista
57395365.0,263549027,5,,,Action_Figure,Generalista
49510756.0,263549027,5,,,Moda_Lusso,Generalista
260001628.0,263549027,5,,6531437805.0,Generalista,Generalista
50565039.0,263549027,5,,6539331232.0,Action_Figure,Generalista
180430113.0,263549027,5,,6474011726.0,Generalista,Generalista
135751857.0,263549027,5,,6403905477.0,Action_Figure,Generalista
10763988.0,263549027,5,,6531205885.0,Generalista,Generalista
50704928.0,263549027,5,,6528193983.0,Generalista,Generalista
22366431.0,263549027,5,,6513478253.0,Generalista,Generalista
254700613.0,263549027,5,,,Generalista,Generalista
32476642.0,263549027,5,,6412823497.0,Moda_Lusso,Generalista
47015712.0,263549027,5,,6403906782.0,Generalista,Generalista
80104167.0,263549027,5,,,Generalista,Generalista
147789469.0,263549027,5,,6457260537.0,Generalista,Generalista
125862525.0,263549027,5,,6500402655.0,Generalista,Generalista
267989975.0,263549027,5,,,Multi_category,Generalista
28772157.0,263549027,5,,6481785324.0,Generalista,Generalista
134520996.0,263549027,5,,6326433843.0,Generalista,Generalista
71596821.0,263549027,5,,6431695912.0,Fumetti_Manga,Generalista
26299464.0,263549027,5,,6401889862.0,Generalista,Generalista
193003465.0,263549027,5,,6439256873.0,Multi_category,Generalista
129496003.0,263549027,5,,6354556802.0,Moda_Lusso,Generalista
82095374.0,263549027,5,,6415005270.0,Generalista,Generalista
251502128.0,263549027,5,,,Multi_category,Generalista
80129495.0,263549027,5,,6433437253.0,Generalista,Generalista
41724776.0,263549027,5,,6426366821.0,Generalista,Generalista
179162483.0,263549027,5,,,Multi_category,Generalista
125456793.0,263549027,5,,6293785451.0,Generalista,Generalista
123941069.0,263549027,5,,6377928584.0,Multi_category,Generalista
39018059.0,263549027,5,,6397677727.0,Generalista,Generalista
39457452.0,263549027,5,,6354553383.0,Generalista,Generalista
228332705.0,263549027,5,,6365942054.0,Generalista,Generalista
95872065.0,263549027,5,,6376317154.0,Multi_category,Generalista
269724524.0,263549027,5,,,Generalista,Generalista
29672872.0,263549027,5,,6339775391.0,Generalista,Generalista
165205532.0,263549027,5,,6326387796.0,Generalista,Generalista
256566976.0,263549027,4,,6293782735.0,Moda_Lusso,Generalista
134955347.0,263549027,5,,6183673100.0,Generalista,Generalista
255810195.0,263549027,5,,6293783669.0,Generalista,Generalista
51370753.0,263549027,5,,6178688042.0,Generalista,Generalista
133424900.0,263549027,5,,6322494961.0,Generalista,Generalista
197861153.0,263549027,5,,6343949184.0,Fumetti_Manga,Generalista
34714783.0,263549027,5,,6293785153.0,Generalista,Generalista
114252112.0,263549027,5,,,Gaming_Console,Generalista
128015764.0,263549027,5,,6268421384.0,Generalista,Generalista
62075026.0,263549027,5,,6201422740.0,Generalista,Generalista
202381086.0,263549027,5,,6293783158.0,Generalista,Generalista
62407227.0,263549027,5,,6200477621.0,Action_Figure,Generalista
55409230.0,263549027,5,,,Generalista,Generalista
93880381.0,263549027,5,,6282137682.0,Moda_Lusso,Generalista
86638253.0,263549027,5,,6186398597.0,Moda_Lusso,Generalista
190897648.0,263549027,5,,,Fumetti_Manga,Generalista
207877773.0,263549027,5,,,Multi_category,Generalista
72561918.0,263549027,5,,6224380203.0,Generalista,Generalista
65518428.0,263549027,5,,6224824158.0,Generalista,Generalista
230746888.0,263549027,5,,6224604446.0,Moda_Lusso,Generalista
129724367.0,263549027,5,,,Fumetti_Manga,Generalista
20463855.0,263549027,5,,6178754244.0,Multi_category,Generalista
55649844.0,263549027,5,,6198164796.0,Multi_category,Generalista
260891966.0,263549027,5,,6178681790.0,Generalista,Generalista
59238937.0,263549027,5,,,Moda_Lusso,Generalista
145918667.0,51137088,5,,7239695050.0,Generalista,Multi_category
273053352.0,51137088,5,,5681152321.0,Generalista,Multi_category
183835223.0,51137088,5,,4995824863.0,Multi_category,Multi_category
23942591.0,51137088,5,,3847772454.0,Moda_Lusso,Multi_category
53000201.0,51137088,5,,4771057197.0,Generalista,Multi_category
15669501.0,51137088,5,,5556706254.0,Generalista,Multi_category
266002963.0,51137088,5,,4974375792.0,Generalista,Multi_category
62314531.0,51137088,5,,6677830305.0,Gaming_Console,Multi_category
62933448.0,51137088,5,,6677784486.0,Generalista,Multi_category
59247886.0,51137088,5,,6677756895.0,Multi_category,Multi_category
179662289.0,51137088,5,,4404998056.0,Generalista,Multi_category
160949470.0,51137088,5,,,Generalista,Multi_category
234188947.0,51137088,5,,,Generalista,Multi_category
224591867.0,51137088,5,,,Moda_Lusso,Multi_category
232012584.0,51137088,5,,,Generalista,Multi_category
51410187.0,51137088,5,,4974652852.0,Gaming_Console,Multi_category
250698361.0,51137088,5,,,Generalista,Multi_category
75753725.0,51137088,5,,,Generalista,Multi_category
135247578.0,51137088,5,,,Action_Figure,Multi_category
34394059.0,51137088,5,,,Generalista,Multi_category
243341952.0,51137088,5,,,Moda_Lusso,Multi_category
52770258.0,51137088,5,,,Multi_category,Multi_category
116926999.0,51137088,5,,,Generalista,Multi_category
121173411.0,51137088,5,,,Action_Figure,Multi_category
209295055.0,51137088,5,,,Generalista,Multi_category
217927403.0,51137088,5,,,Generalista,Multi_category
