Acquirente_ID,Venditore_ID,Rating_Acquirente_V,Rating_Venditore_A,Item_ID,Acquirente_Community,Venditore_Community,Main_Tag_Acquirente,Detailed_Tag_Acquirente,Main_Tag_Venditore,Detailed_Tag_Venditore,Rating_Medio,Numero_Transazioni,Rating_A,Rating_V,Scarto
66964234.0,51137088,5,1.0,,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Gaming_Console_Moda_Lusso,5.0,1,5,1.0,4.0
60371428.0,79807304,3,5.0,,Multi_category,Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Tech_Elettronica,Fumetti_Manga,Puro_Fumetti_Manga,3.0,1,3,5.0,2.0
70602452.0,76860837,3,5.0,,Generalista,Carte_TCG,Generalista,Debole_Carte_TCG,Carte_TCG,Puro_Carte_TCG,3.0,1,3,5.0,2.0
74957104.0,76860837,3,5.0,,Generalista,Carte_TCG,Generalista,Debole_Media_Vinili,Carte_TCG,Puro_Carte_TCG,3.0,1,3,5.0,2.0
89181859.0,138224980,3,5.0,,Moda_Lusso,Multi_category,Moda_Lusso,Puro_Moda_Lusso,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
127879357.0,171025810,5,1.0,,Multi_category,Multi_category,Multi_category,Multi_category_Carte_TCG_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Carte_TCG,5.0,1,5,1.0,4.0
56312879.0,232131254,5,1.0,6820601183.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
56312879.0,232131254,5,1.0,6718769419.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
56312879.0,232131254,5,1.0,6617966838.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
241388841.0,232131254,1,5.0,,Carte_TCG,Multi_category,Carte_TCG,Puro_Carte_TCG,Multi_category,Multi_category_Action_Figure_Carte_TCG,1.0,1,1,5.0,4.0
231366497.0,232131254,5,1.0,,Carte_TCG,Multi_category,Carte_TCG,Puro_Carte_TCG,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,1,5,1.0,4.0
242207914.0,249994384,3,5.0,,Media_Vinili,Multi_category,Media_Vinili,Puro_Media_Vinili,Multi_category,Multi_category_Moda_Lusso_Carte_TCG,3.0,1,3,5.0,2.0
262464997.0,86438122,5,3.0,,Multi_category,Action_Figure,Multi_category,Multi_category_Action_Figure_Fumetti_Manga,Action_Figure,Puro_Action_Figure,5.0,1,5,3.0,2.0
165787745.0,86438122,5,1.0,,Media_Vinili,Action_Figure,Media_Vinili,Puro_Media_Vinili,Action_Figure,Puro_Action_Figure,5.0,1,5,1.0,4.0
67606141.0,58202410,1,5.0,,Moda_Lusso,Action_Figure,Moda_Lusso,Puro_Moda_Lusso,Action_Figure,Puro_Action_Figure,1.0,1,1,5.0,4.0
212153143.0,163790130,3,5.0,,Action_Figure,Action_Figure,Action_Figure,Puro_Action_Figure,Action_Figure,Puro_Action_Figure,3.0,1,3,5.0,2.0
12318354.0,162622596,5,1.0,7151123146.0,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
63638801.0,162622596,5,1.0,,Multi_category,Multi_category,Multi_category,Multi_category_Action_Figure_Moda_Lusso,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
18136974.0,162622596,5,1.0,,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
143993073.0,48984054,3,5.0,,Generalista,Multi_category,Generalista,Debole_Carte_TCG,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
130139872.0,48984054,3,5.0,,Generalista,Multi_category,Generalista,Debole_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
